OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,text,cluster_id,n_members,best_match_id,best_match_label,confidence,reasoning,is_mapped
mortality rate,per capita daily mortality,individual-1 day-1,Trait: mortality rate. Definition: per capita daily mortality. Unit: individual-1 day-1.,-1,130,PATO:0000161,rate,medium,"The VecTraits entry describes a mortality rate, which is a type of rate, but no specific ontology term for mortality rate is available among the candidates.",TRUE
mortality rate,per capita daily mortality,individual-1 day-1,Trait: mortality rate. Definition: per capita daily mortality. Unit: individual-1 day-1.,-1,130,PATO:0000161,rate,medium,"The term 'rate' is a general concept that encompasses the occurrence of a process per unit time, which aligns with the definition of 'mortality rate' as per capita daily mortality.",TRUE
blood feeding frequency,mean lifetime blood meals individual-1,blood meals,Trait: blood feeding frequency. Definition: mean lifetime blood meals individual-1. Unit: blood meals.,-1,130,PATO:0000044,frequency,medium,"The trait 'blood feeding frequency' refers to the number of repetitive actions (blood meals) over a lifetime, aligning with the general concept of 'frequency' as defined by PATO:0000044.",TRUE
blood feeding frequency,mean lifetime blood meals individual-1,blood meals,Trait: blood feeding frequency. Definition: mean lifetime blood meals individual-1. Unit: blood meals.,-1,130,PATO:0000044,frequency,high,"The trait 'blood feeding frequency' refers to the number of repetitive actions (blood meals) over a lifetime, which aligns with the definition of 'frequency' as a physical quality related to repetitive actions.",TRUE
ovipositioning,proportion of blood fed mosquitoes laying egg rafts,proportion,Trait: ovipositioning. Definition: proportion of blood fed mosquitoes laying egg rafts. Unit: proportion.,-1,130,NO_CANDIDATES,NO_CANDIDATES,none,No OBA/PATO candidates found via API,FALSE
ovipositioning,proportion of blood fed mosquitoes laying egg rafts,proportion,Trait: ovipositioning. Definition: proportion of blood fed mosquitoes laying egg rafts. Unit: proportion.,-1,130,NO_CANDIDATES,NO_CANDIDATES,none,No OBA/PATO candidates found via API,FALSE
egg viability,mean percentage of viable eggs produced per female,eggs individual-1,Trait: egg viability. Definition: mean percentage of viable eggs produced per female. Unit: eggs individual-1.,-1,130,PATO:0000169,viability,medium,"The trait 'egg viability' refers to the percentage of eggs that are viable, which aligns with the general concept of 'viability' as the disposition to survive and develop normally.",TRUE
egg viability,mean percentage of viable eggs produced per female,eggs individual-1,Trait: egg viability. Definition: mean percentage of viable eggs produced per female. Unit: eggs individual-1.,-1,130,PATO:0000169,viability,medium,"The trait 'egg viability' refers to the ability of eggs to survive and develop, which aligns with the general concept of 'viability' as an organismal quality.",TRUE
fat content,mean lipid content per individual,ug mg-1 individual-1,Trait: fat content. Definition: mean lipid content per individual. Unit: ug mg-1 individual-1.,-1,130,PATO:0000025,composition,medium,"The trait 'fat content' refers to the composition of lipids in an individual, which aligns with the general concept of 'composition' in PATO:0000025.",TRUE
fat content,mean lipid content per individual,ug mg-1 individual-1,Trait: fat content. Definition: mean lipid content per individual. Unit: ug mg-1 individual-1.,-1,130,PATO:0000025,composition,medium,"The trait 'fat content' refers to the lipid composition of an individual, which aligns with the general concept of 'composition' in PATO:0000025.",TRUE
pre-blood meal period,average duration from emergence to first blood meal,days,Trait: pre-blood meal period. Definition: average duration from emergence to first blood meal. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'pre-blood meal period' refers to the temporal extent of a process, which aligns with the concept of 'duration'.",TRUE
pre-blood meal period,average duration from emergence to first blood meal,days,Trait: pre-blood meal period. Definition: average duration from emergence to first blood meal. Unit: days.,-1,130,PATO:0001309,duration,medium,"The trait 'pre-blood meal period' refers to a temporal extent, which aligns with the concept of 'duration' as a process quality.",TRUE
resource consumption rate,mean daily resource consumption rate,cm2 day-1,Trait: resource consumption rate. Definition: mean daily resource consumption rate. Unit: cm2 day-1.,-1,130,PATO:0000161,rate,medium,"The VecTraits entry describes a rate of resource consumption, which aligns with the general concept of 'rate' as a process occurring per unit time.",TRUE
resource consumption rate,mean daily resource consumption rate,cm2 day-1,Trait: resource consumption rate. Definition: mean daily resource consumption rate. Unit: cm2 day-1.,-1,130,PATO:0000161,rate,high,"The trait 'resource consumption rate' is best described by the general concept of 'rate', which refers to a process occurring per unit time, aligning with the definition and unit provided.",TRUE
blood feeding,percent taking one bloodmeal,percent,Trait: blood feeding. Definition: percent taking one bloodmeal. Unit: percent.,-1,130,OBA:1000748,feeding behavior quality,high,"The trait 'blood feeding' refers to a behavior related to feeding, which aligns with the concept of 'feeding behavior quality'.",TRUE
blood feeding,percent taking one bloodmeal,percent,Trait: blood feeding. Definition: percent taking one bloodmeal. Unit: percent.,-1,130,OBA:1000748,feeding behavior quality,high,The trait 'blood feeding' with definition 'percent taking one bloodmeal' aligns with the concept of 'feeding behavior quality' as it describes a specific aspect of feeding behavior.,TRUE
transmission potential,percent of individuals with transmission potential,percent,Trait: transmission potential. Definition: percent of individuals with transmission potential. Unit: percent.,-1,130,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms relate to the concept of transmission potential as defined by the percent of individuals with transmission potential.,FALSE
transmission potential,percent of individuals with transmission potential,percent,Trait: transmission potential. Definition: percent of individuals with transmission potential. Unit: percent.,-1,130,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms relate to the concept of transmission potential as defined by the percent of individuals with transmission potential.,FALSE
lipid content,mean lipid content per individual,ug,Trait: lipid content. Definition: mean lipid content per individual. Unit: ug.,-1,130,OBA:VT0001547,lipid amount,high,"The VecTraits entry 'lipid content' refers to the amount of lipid measured per individual, which aligns with the ontology term 'lipid amount' that describes the amount of lipid measured in an anatomical entity.",TRUE
lipid content,mean lipid content per individual,ug,Trait: lipid content. Definition: mean lipid content per individual. Unit: ug.,-1,130,OBA:VT0001547,lipid amount,high,The VecTraits entry 'lipid content' aligns with the ontology term 'lipid amount' as both refer to the measurement of lipid quantity in a biological context.,TRUE
protein content,mean protein content per individual,ug,Trait: protein content. Definition: mean protein content per individual. Unit: ug.,-1,130,PATO:0103004,total amount,medium,"The trait 'protein content' refers to the total amount of protein, which aligns with the concept of a quantitative quality representing the sum of all 'amount' qualities.",TRUE
protein content,mean protein content per individual,ug,Trait: protein content. Definition: mean protein content per individual. Unit: ug.,-1,130,PATO:0103004,total amount,medium,"The trait 'protein content' refers to a quantitative measure of protein, which aligns with the concept of 'total amount' as a sum of all protein components.",TRUE
glycogen content,mean glycogen content per individual,ug,Trait: glycogen content. Definition: mean glycogen content per individual. Unit: ug.,-1,130,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms specifically match the general concept of glycogen content per individual without specifying a particular organ or condition.,FALSE
glycogen content,mean glycogen content per individual,ug,Trait: glycogen content. Definition: mean glycogen content per individual. Unit: ug.,-1,130,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically refer to glycogen content as a general trait across individuals, independent of specific tissues or conditions.",FALSE
ovariole number,mean number of ovarioles per individual,ovarioles individual-1,Trait: ovariole number. Definition: mean number of ovarioles per individual. Unit: ovarioles individual-1.,-1,130,PATO:0001555,has number of,high,"The trait 'ovariole number' refers to the count of a specific type of part (ovarioles) in an individual, which aligns with the relational quality described by 'has number of'.",TRUE
ovariole number,mean number of ovarioles per individual,ovarioles individual-1,Trait: ovariole number. Definition: mean number of ovarioles per individual. Unit: ovarioles individual-1.,-1,130,PATO:0001555,has number of,high,"The trait 'ovariole number' refers to the count of a specific type of part (ovarioles) in an organism, which aligns with the relational quality described by 'has number of'.",TRUE
resource consumption rate,mean lifetime prey consumed,individual prey individual-1,Trait: resource consumption rate. Definition: mean lifetime prey consumed. Unit: individual prey individual-1.,-1,130,PATO:0000161,rate,medium,"The VecTraits entry describes a rate of prey consumption, which aligns with the general concept of 'rate' as a process occurrence per unit time, although it lacks specificity regarding prey consumption.",TRUE
resource consumption rate,mean lifetime prey consumed,individual prey individual-1,Trait: resource consumption rate. Definition: mean lifetime prey consumed. Unit: individual prey individual-1.,-1,130,PATO:0000161,rate,medium,"The VecTraits entry describes a rate of prey consumption, which aligns with the general concept of 'rate' as a process occurring per unit time, although it does not specify prey consumption explicitly.",TRUE
survival,percent surviving life stage (across all humidity levels),percent,Trait: survival. Definition: percent surviving life stage (across all humidity levels). Unit: percent.,-1,130,PATO:0000719,viable,medium,"The VecTraits entry describes survival as a percentage, which aligns with the concept of viability in terms of the ability to survive, but lacks specificity regarding life stages or environmental conditions.",TRUE
survival,percent surviving life stage (across all humidity levels),percent,Trait: survival. Definition: percent surviving life stage (across all humidity levels). Unit: percent.,-1,130,PATO:0000719,viable,medium,"The VecTraits entry describes survival as a percentage, which aligns with the concept of viability in a population's ability to survive.",TRUE
hatch time,mean duration of life stage,hours,Trait: hatch time. Definition: mean duration of life stage. Unit: hours.,-1,130,PATO:0001309,duration,high,"The term 'duration' directly corresponds to the mean duration of a life stage, which is the definition of 'hatch time'.",TRUE
hatch time,mean duration of life stage,hours,Trait: hatch time. Definition: mean duration of life stage. Unit: hours.,-1,130,PATO:0001309,duration,high,"The term 'duration' directly corresponds to the mean duration of a life stage, which is the definition of 'hatch time'.",TRUE
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,days,Trait: hatching range. Definition: range of the number of days all eggs hatched from when the first egg hatching started. Unit: days.,-1,130,NO_MATCH,NO_MATCH,high,"None of the candidate ontology terms specifically describe the range of days for egg hatching, which is the focus of the VecTraits entry.",FALSE
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,days,Trait: hatching range. Definition: range of the number of days all eggs hatched from when the first egg hatching started. Unit: days.,-1,130,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically describe the range of days for egg hatching, which is the focus of the VecTraits entry.",FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,minutes,Trait: chill-coma recovery time. Definition: mean duration for individuals to regain full movement after being cold shocked as function of growth temperature. Unit: minutes.,-1,130,PATO:0001309,duration,medium,"The trait 'chill-coma recovery time' is best described by the temporal extent between the starting and ending point of recovery, aligning with the concept of 'duration'.",TRUE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,minutes,Trait: chill-coma recovery time. Definition: mean duration for individuals to regain full movement after being cold shocked as function of growth temperature. Unit: minutes.,-1,130,PATO:0001309,duration,high,"The trait 'chill-coma recovery time' is best described by the temporal extent between the starting and ending point of recovery, which aligns with the definition of 'duration'.",TRUE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,minutes,Trait: chill-coma recovery time. Definition: mean duration for individuals to regain full movement after being cold shocked as function of adult temperature. Unit: minutes.,-1,130,PATO:0001309,duration,high,"The trait 'chill-coma recovery time' is best described by the temporal extent between the starting and ending point of recovery, which aligns with the definition of 'duration'.",TRUE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,minutes,Trait: chill-coma recovery time. Definition: mean duration for individuals to regain full movement after being cold shocked as function of adult temperature. Unit: minutes.,-1,130,PATO:0001309,duration,medium,"The trait 'chill-coma recovery time' refers to the duration of a process, which aligns with the definition of 'duration' as the temporal extent between starting and ending points.",TRUE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,minutes,Trait: heat knockdown time. Definition: mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature. Unit: minutes.,-1,130,PATO:0001309,duration,high,"The trait 'heat knockdown time' is fundamentally about the temporal extent of tolerance to heat, which aligns with the concept of 'duration'.",TRUE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,minutes,Trait: heat knockdown time. Definition: mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature. Unit: minutes.,-1,130,PATO:0001309,duration,high,"The trait 'heat knockdown time' is fundamentally about the temporal extent of a process, which aligns with the concept of 'duration'.",TRUE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,minutes,Trait: heat knockdown time. Definition: mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature. Unit: minutes.,-1,130,PATO:0001309,duration,medium,"The trait 'heat knockdown time' refers to the temporal extent of heat tolerance, aligning with the concept of 'duration'.",TRUE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,minutes,Trait: heat knockdown time. Definition: mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature. Unit: minutes.,-1,130,PATO:0001309,duration,medium,"The trait 'heat knockdown time' refers to the duration individuals can tolerate heat, which aligns with the concept of 'duration' as a process quality.",TRUE
consumption rate,mean relative consumption rate,mg of aphids,Trait: consumption rate. Definition: mean relative consumption rate. Unit: mg of aphids.,-1,130,PATO:0000161,rate,medium,"The VecTraits entry describes a consumption rate, which aligns with the general concept of a rate as a process occurring per unit time, but lacks specificity regarding food consumption.",TRUE
consumption rate,mean relative consumption rate,mg of aphids,Trait: consumption rate. Definition: mean relative consumption rate. Unit: mg of aphids.,-1,130,PATO:0000161,rate,medium,"The VecTraits entry describes a consumption rate, which aligns with the general concept of 'rate' as a process occurring per unit time, but lacks specificity regarding the type of consumption.",TRUE
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),ln(mg day-1),Trait: growth rate. Definition: mean daily growth rate (the product of ln pupal weight divided by larval development time). Unit: ln(mg day-1).,-1,130,PATO:0040046,single organismal growth rate,high,"The VecTraits entry describes the growth rate of an individual organism, which aligns with the definition of 'single organismal growth rate' as the change in size of an individual entity.",TRUE
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),ln(mg day-1),Trait: growth rate. Definition: mean daily growth rate (the product of ln pupal weight divided by larval development time). Unit: ln(mg day-1).,-1,130,PATO:0040046,single organismal growth rate,high,"The VecTraits entry describes the growth rate of an individual organism, which aligns with the definition of 'single organismal growth rate' as the rate of change in size of an individual entity.",TRUE
weight loss,proportionate weight loss in relation to temperature and population,proportion,Trait: weight loss. Definition: proportionate weight loss in relation to temperature and population. Unit: proportion.,-1,130,HP:0001824,Weight loss,medium,"The VecTraits entry describes weight loss, which aligns with the label of HP:0001824, despite the lack of a definition.",TRUE
weight loss,proportionate weight loss in relation to temperature and population,proportion,Trait: weight loss. Definition: proportionate weight loss in relation to temperature and population. Unit: proportion.,-1,130,PATO:0000583,decreased weight,medium,"The VecTraits entry describes weight loss, which aligns with the concept of decreased weight, although it lacks specific context regarding temperature and population.",TRUE
feeding rate,mean lifetime feeding punctures,feeding punctures individual-1,Trait: feeding rate. Definition: mean lifetime feeding punctures. Unit: feeding punctures individual-1.,-1,130,OBA:1000748,feeding behavior quality,high,"The VecTraits entry describes a trait related to feeding behavior, specifically the mean lifetime feeding punctures, which aligns with the concept of 'feeding behavior quality'.",TRUE
feeding rate,mean lifetime feeding punctures,feeding punctures individual-1,Trait: feeding rate. Definition: mean lifetime feeding punctures. Unit: feeding punctures individual-1.,-1,130,OBA:1000748,feeding behavior quality,high,"The VecTraits entry describes a trait related to feeding behavior, specifically the mean lifetime feeding punctures, which aligns with the concept of 'feeding behavior quality'.",TRUE
