trait_name,trait_def,trait_unit,best_match_id,best_match_label,confidence,reasoning
mortality rate,per capita daily mortality,individual-1 day-1,PATO:0000161,rate,medium,"The VecTraits entry describes a mortality rate, which is a type of rate, but no specific ontology term for mortality rate is available among the candidates."
blood feeding frequency,mean lifetime blood meals individual-1,blood meals,PATO:0000044,frequency,medium,"The trait 'blood feeding frequency' refers to the number of repetitive actions (blood meals) over a lifetime, aligning with the general concept of 'frequency' as defined by PATO:0000044."
egg viability,mean percentage of viable eggs produced per female,eggs individual-1,PATO:0000169,viability,medium,"The trait 'egg viability' refers to the percentage of eggs that are viable, which aligns with the general concept of 'viability' as the disposition to survive and develop normally."
fat content,mean lipid content per individual,ug mg-1 individual-1,PATO:0000025,composition,medium,"The trait 'fat content' refers to the composition of lipids in an individual, which aligns with the general concept of 'composition' in PATO:0000025."
pre-blood meal period,average duration from emergence to first blood meal,days,PATO:0001309,duration,medium,"The trait 'pre-blood meal period' refers to the temporal extent of a process, which aligns with the concept of 'duration'."
resource consumption rate,mean daily resource consumption rate,cm2 day-1,PATO:0000161,rate,medium,"The VecTraits entry describes a rate of resource consumption, which aligns with the general concept of 'rate' as a process occurring per unit time."
blood feeding,percent taking one bloodmeal,percent,OBA:1000748,feeding behavior quality,high,"The trait 'blood feeding' refers to a behavior related to feeding, which aligns with the concept of 'feeding behavior quality'."
lipid content,mean lipid content per individual,ug,OBA:VT0001547,lipid amount,high,"The VecTraits entry 'lipid content' refers to the amount of lipid measured per individual, which aligns with the ontology term 'lipid amount' that describes the amount of lipid measured in an anatomical entity."
protein content,mean protein content per individual,ug,PATO:0103004,total amount,medium,"The trait 'protein content' refers to the total amount of protein, which aligns with the concept of a quantitative quality representing the sum of all 'amount' qualities."
ovariole number,mean number of ovarioles per individual,ovarioles individual-1,PATO:0001555,has number of,high,"The trait 'ovariole number' refers to the count of a specific type of part (ovarioles) in an individual, which aligns with the relational quality described by 'has number of'."
resource consumption rate,mean lifetime prey consumed,individual prey individual-1,PATO:0000161,rate,medium,"The VecTraits entry describes a rate of prey consumption, which aligns with the general concept of 'rate' as a process occurrence per unit time, although it lacks specificity regarding prey consumption."
survival,percent surviving life stage (across all humidity levels),percent,PATO:0000719,viable,medium,"The VecTraits entry describes survival as a percentage, which aligns with the concept of viability in terms of the ability to survive, but lacks specificity regarding life stages or environmental conditions."
hatch time,mean duration of life stage,hours,PATO:0001309,duration,high,"The term 'duration' directly corresponds to the mean duration of a life stage, which is the definition of 'hatch time'."
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,minutes,PATO:0001309,duration,medium,"The trait 'chill-coma recovery time' is best described by the temporal extent between the starting and ending point of recovery, aligning with the concept of 'duration'."
