query_trait,ontology,term_id,term_label,term_definition
development time,OBA,OBA:0002217,embryo development rate,The rate of a embryo development.
development time,OBA,OBA:0003600,artery development rate,The rate of a artery development.
development time,OBA,OBA:0004100,blastocyst development morphology,The morphology of a blastocyst development.
development time,OBA,OBA:0004352,spermatid development occurrence,The occurrence of a spermatid development.
development time,OBA,OBA:1000796,cloaca development quality,The quality of a cloaca development.
survival,OBA,OBA:2044232,level of survival motor neuron protein in blood serum,The amount of a survival motor neuron protein when measured in blood serum.
survival,OBA,OBA:2059004,level of survival motor neuron protein (human) in cerebrospinal fluid,The amount of a survival motor neuron protein (human) when measured in cerebrospinal fluid.
survival,OBA,OBA:2050909,level of survival of motor neuron-related-splicing factor 30 in blood,The amount of a survival of motor neuron-related-splicing factor 30 when measured in blood.
survival,OBA,OBA:2043556,level of survival of motor neuron-related-splicing factor 30 in blood serum,The amount of a survival of motor neuron-related-splicing factor 30 when measured in blood serum.
survival,OBA,OBA:2056414,level of survival of motor neuron-related-splicing factor 30 (human) in cerebrospinal fluid,The amount of a survival of motor neuron-related-splicing factor 30 (human) when measured in cerebrospinal fluid.
body size,OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.
body size,OBA,OBA:0002793,ciliary body size,The size of a ciliary body.
body size,OBA,OBA:0003321,pineal body size,The size of a pineal body.
body size,OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.
body size,OBA,OBA:0002168,skin of body size,The size of a skin of body.
longevity,OBA,OBA:VT0005372,life span determination trait,The process quality of a determination of adult lifespan.
juvenile life span,OBA,OBA:0003653,multicellular organism life span,The life span of a multicellular organism.
juvenile life span,OBA,OBA:VT0005372,life span determination trait,The process quality of a determination of adult lifespan.
juvenile life span,OBA,PATO:0000050,life span,NA
juvenile life span,OBA,PATO:0001603,increased life span,NA
juvenile life span,OBA,PATO:0001604,decreased life span,NA
fecundity,OBA,PATO:0000273,fecundity,NA
fecundity,OBA,OBA:0003697,multicellular organism fecundity,The fecundity of a multicellular organism.
fecundity,OBA,PATO:0001695,increased fecundity,NA
fecundity,OBA,PATO:0001696,decreased fecundity,NA
fecundity,OBA,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
mortality,OBA,OBA:2050757,level of mortality factor 4-like protein 1 in blood,The amount of a mortality factor 4-like protein 1 when measured in blood.
mortality,OBA,OBA:2050758,level of mortality factor 4-like protein 2 in blood,The amount of a mortality factor 4-like protein 2 when measured in blood.
mortality,OBA,OBA:2042401,level of mortality factor 4-like protein 1 in blood serum,The amount of a mortality factor 4-like protein 1 when measured in blood serum.
mortality,OBA,OBA:2042402,level of mortality factor 4-like protein 2 in blood serum,The amount of a mortality factor 4-like protein 2 when measured in blood serum.
mortality,OBA,OBA:2058865,level of mortality factor 4-like protein 2 (human) in cerebrospinal fluid,The amount of a mortality factor 4-like protein 2 (human) when measured in cerebrospinal fluid.
cold hardiness,OBA,OBA:2041033,level of cold-inducible RNA-binding protein in blood serum,The amount of a cold-inducible RNA-binding protein when measured in blood serum.
cold hardiness,OBA,OBA:2058752,level of cold-inducible RNA-binding protein (human) in cerebrospinal fluid,The amount of a cold-inducible RNA-binding protein (human) when measured in cerebrospinal fluid.
cold hardiness,OBA,OBA:2041165,level of cold shock domain-containing protein C2 in blood serum,The amount of a cold shock domain-containing protein C2 when measured in blood serum.
cold hardiness,OBA,OBA:2041166,level of cold shock domain-containing protein E1 in blood serum,The amount of a cold shock domain-containing protein E1 when measured in blood serum.
cold hardiness,OBA,OBA:2056371,level of cold shock domain-containing protein E1 (human) in cerebrospinal fluid,The amount of a cold shock domain-containing protein E1 (human) when measured in cerebrospinal fluid.
survival rate,OBA,OBA:0002011,micturition rate,The rate of a micturition.
survival rate,OBA,OBA:0002200,reflex rate,The rate of a reflex.
survival rate,OBA,OBA:0002672,gluconeogenesis rate,The rate of a gluconeogenesis.
survival rate,OBA,OBA:0002850,spermatogenesis rate,The rate of a spermatogenesis.
survival rate,OBA,OBA:0003172,anagen rate,The rate of a anagen.
development rate,OBA,OBA:0002217,embryo development rate,The rate of a embryo development.
development rate,OBA,OBA:0003600,artery development rate,The rate of a artery development.
development rate,OBA,OBA:0003599,ovarian follicle development rate,The rate of a ovarian follicle development.
development rate,OBA,OBA:0004171,lung alveolus development rate,The rate of a lung alveolus development.
development rate,OBA,OBA:0005316,mesenchymal cell proliferation involved in lung development rate,The rate of a mesenchymal cell proliferation involved in lung development.
fecundity rate,OBA,OBA:0003697,multicellular organism fecundity,The fecundity of a multicellular organism.
fecundity rate,OBA,PATO:0000273,fecundity,NA
fecundity rate,OBA,OBA:0002011,micturition rate,The rate of a micturition.
fecundity rate,OBA,OBA:0002200,reflex rate,The rate of a reflex.
fecundity rate,OBA,OBA:0002672,gluconeogenesis rate,The rate of a gluconeogenesis.
pre-reproductive period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
pre-reproductive period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
pre-reproductive period,OBA,PR:000050150,period circadian protein homolog,Category=family.
pre-reproductive period,OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
pre-reproductive period,OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
mortality rate,OBA,OBA:0002011,micturition rate,The rate of a micturition.
mortality rate,OBA,OBA:0002200,reflex rate,The rate of a reflex.
mortality rate,OBA,OBA:0002672,gluconeogenesis rate,The rate of a gluconeogenesis.
mortality rate,OBA,OBA:0002850,spermatogenesis rate,The rate of a spermatogenesis.
mortality rate,OBA,OBA:0003172,anagen rate,The rate of a anagen.
reproductive period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
reproductive period,OBA,OBA:0002007,reproductive system size,The size of a reproductive system.
reproductive period,OBA,OBA:0002409,reproductive system displaced,The displaced of a reproductive system.
reproductive period,OBA,OBA:2050117,reproductive behavior trait,The quality of a reproductive behavior.
reproductive period,OBA,OBA:VT0005389,reproductive system trait,The quality when measured in reproductive system.
recovery time,OBA,PATO:0000165,time,NA
recovery time,OBA,OBA:2040171,sleep duration trait,The duration of a sleep.
recovery time,OBA,OBA:2040011,trait in response to mycophenolic acid,A trait that affects the response to a stimulus with mycophenolic acid.
recovery time,OBA,OBA:2045215,menstrual cycle attribute,The quality of a menstrual cycle.
recovery time,OBA,OBA:2001010,age of onset of essential hypertension,The age at which essential hypertension manifestations first appear.
weight loss,OBA,HP:0001824,Weight loss,NA
weight loss,OBA,OBA:0003744,regulation of water loss via skin rate,regulation of water loss via skin (GO_0033561) was obsoleted
weight loss,OBA,OBA:VT0004257,placenta mass,The mass of a placenta.
weight loss,OBA,OBA:2051506,level of loss of heterozygosity 11 chromosomal region 2 gene A protein in blood,The amount of a loss of heterozygosity 11 chromosomal region 2 gene A protein when measured in blood.
weight loss,OBA,HP:0000572,Visual loss,NA
oocyst prevalence,OBA,HP:0002315,Headache,"Headache is one of the most common types of recurrent pain as well as one of the most frequent symptoms in neurology. In addition to occasional headaches, there are well-defined headache disorders that vary in incidence, prevalence and duration and can be divided into two broad categories. In secondary headache disorders, headaches are attributed to another condition, such as brain tumor or head injury; for the primary disorders the headache is not due to another condition."
ovipositional period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
ovipositional period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
ovipositional period,OBA,PR:000050150,period circadian protein homolog,Category=family.
ovipositional period,OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
ovipositional period,OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
gonotrophic cycle,OBA,OBA:0004567,ovulation cycle duration,The duration of a ovulation cycle.
gonotrophic cycle,OBA,OBA:0004569,ovulation cycle amount,The amount of a ovulation cycle.
gonotrophic cycle,OBA,OBA:1000268,cell cycle quality,The quality of a cell cycle.
gonotrophic cycle,OBA,OBA:2045215,menstrual cycle attribute,The quality of a menstrual cycle.
gonotrophic cycle,OBA,OBA:VT0000427,hair cycle trait,The quality of a hair cycle.
starvation tolerance,OBA,GO:0002507,tolerance induction,NA
starvation tolerance,OBA,GO:0002427,mucosal tolerance induction,NA
starvation tolerance,OBA,GO:0002465,peripheral tolerance induction,NA
starvation tolerance,OBA,GO:0002508,central tolerance induction,NA
starvation tolerance,OBA,GO:0010931,macrophage tolerance induction,NA
preoviposition period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
preoviposition period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
preoviposition period,OBA,PR:000050150,period circadian protein homolog,Category=family.
preoviposition period,OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
preoviposition period,OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
egg mass,OBA,OBA:VT1000294,egg quantity,The amount of a egg cell.
egg mass,OBA,OBA:1001091,egg shell trait,The quality of a eggshell.
