trait_name,trait_def,trait_unit,best_match_id,best_match_label,confidence,reasoning
ovipositioning,proportion of blood fed mosquitoes laying egg rafts,proportion,NO_CANDIDATES,NO_CANDIDATES,none,No OBA/PATO candidates found via API
transmission potential,percent of individuals with transmission potential,percent,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms relate to the concept of transmission potential as defined by the percent of individuals with transmission potential.
glycogen content,mean glycogen content per individual,ug,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms specifically match the general concept of glycogen content per individual without specifying a particular organ or condition.
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,days,NO_MATCH,NO_MATCH,high,"None of the candidate ontology terms specifically describe the range of days for egg hatching, which is the focus of the VecTraits entry."
oocyst prevalence,not stated,percent,NO_MATCH,NO_MATCH,high,"The candidate ontology term 'Headache' is unrelated to 'oocyst prevalence', which pertains to the percentage of hosts infected with oocysts, a concept not covered by the provided term."
sporozoite prevalence,not stated,percent,NO_MATCH,NO_MATCH,high,"The candidate ontology term 'Headache' is unrelated to 'sporozoite prevalence', which pertains to the percentage of sporozoites, a stage in the life cycle of certain parasites."
viral load,individual-level viral load,PFU (plaque-forming units),NO_MATCH,NO_MATCH,high,None of the candidate ontology terms specifically refer to individual-level viral load measured in plaque-forming units.
juvenile life span,individual-level duration from hatching to death or adult eclosion,days,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically refer to the duration from hatching to death or adult eclosion, which is a distinct phase of life span."
mortality,number of dead individuals per group,individuals,NO_MATCH,NO_MATCH,high,"The VecTraits entry describes mortality as the number of dead individuals per group, which is unrelated to the levels of specific proteins in blood or cerebrospinal fluid."
survival rate,percent surviving to oviposition,percent,NO_MATCH,NO_MATCH,high,"None of the candidate ontology terms specifically represent the concept of survival rate, which is the percentage of individuals surviving to a specific life stage, such as oviposition."
mortality (larval),duration for 100% mortality (unfed larvae),weeks,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms relate to larval mortality duration or unfed larvae mortality.
mortality (nymphal),duration for 50% mortality (unfed nymphs),weeks,NO_MATCH,NO_MATCH,high,"The VecTraits entry describes a trait related to nymphal mortality duration, which is unrelated to the levels of mortality factor proteins in blood or cerebrospinal fluid described by the candidate ontology terms."
mortality,time taken for 50% of adults to die,days,NO_MATCH,NO_MATCH,high,"The VecTraits entry describes a measure of time for mortality, while the candidate terms describe levels of specific proteins in various fluids, which are unrelated concepts."
sex ratio,mean proportion of female adults cohort-1,ratio,NO_MATCH,NO_MATCH,high,None of the candidate terms specifically describe the concept of 'sex ratio' as the mean proportion of female adults in a cohort.
sex ratio,ratio of male psyllids to female psyllids,ratio,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically address the concept of a sex ratio, which is a quantitative measure of the proportion of males to females."
cold hardiness,percent of eggs hatched after being exposed to freezing temperatures for a given duration of time,percent,NO_MATCH,NO_MATCH,high,None of the candidate terms represent the concept of cold hardiness as defined by the percentage of eggs hatched after exposure to freezing temperatures.
temperature thresholds for oviposition,number of psyllid eggs laid over a 48 hour period at temperatures at which female psyllids were held,number of eggs,NO_MATCH,NO_MATCH,high,None of the candidate terms specifically address the concept of temperature thresholds for oviposition in psyllids.
nymph production,number of nymphs produced / female,number of nymphs produced / female,NO_MATCH,NO_MATCH,high,"None of the candidate ontology terms relate to the concept of nymph production, which is specific to the reproductive output of female organisms, not cytokine or serotonin production."
Pre-reproductive average,Period from birth until first molt,days,NO_MATCH,NO_MATCH,high,"None of the candidate ontology terms relate to the period from birth until first molt, which is a developmental timing trait."
Post-reproductive average,period from the end of reproduction until death,days,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms relate to the concept of a post-reproductive period or lifespan.
peak fecundity,day post engorgement on which an individual female laid most eggs,days,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically address the timing of peak fecundity, which is about the day post-engorgement when most eggs are laid, rather than the general concept of fecundity."
survival rate,percentage of unfed adults that survive,percent,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms specifically represent the concept of 'survival rate' as defined in the VecTraits entry.
percent moult,percentage moulted engorged on calves,days,NO_MATCH,NO_MATCH,high,"None of the candidate ontology terms relate to the concept of percentage moulted engorged on calves, which is specific to a biological process in arthropods or similar organisms."
percent moult,percentage moulted engorged on rabbits,percent,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms relate to the concept of percentage moulted engorged on rabbits.
questing,mean percent of ticks questing,percent,NO_CANDIDATES,NO_CANDIDATES,none,No OBA/PATO candidates found via API
ovipositioning,proportion of blood fed mosquitoes laying egg rafts,proportion,NO_CANDIDATES,NO_CANDIDATES,none,No OBA/PATO candidates found via API
transmission potential,percent of individuals with transmission potential,percent,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms relate to the concept of transmission potential as defined by the percent of individuals with transmission potential.
glycogen content,mean glycogen content per individual,ug,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically refer to glycogen content as a general trait across individuals, independent of specific tissues or conditions."
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,days,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically describe the range of days for egg hatching, which is the focus of the VecTraits entry."
oocyst prevalence,not stated,percent,NO_MATCH,NO_MATCH,high,"The candidate ontology term 'Headache' is unrelated to 'oocyst prevalence', which pertains to the percentage of hosts infected with oocysts, a concept not covered by the provided term."
sporozoite prevalence,not stated,percent,NO_MATCH,NO_MATCH,high,"The candidate ontology term 'Headache' is unrelated to 'sporozoite prevalence', which pertains to the percentage of sporozoites in a population, not a symptom or condition like headache."
viral load,individual-level viral load,PFU (plaque-forming units),NO_MATCH,NO_MATCH,high,None of the candidate ontology terms specifically refer to individual-level viral load measured in plaque-forming units.
juvenile life span,individual-level duration from hatching to death or adult eclosion,days,NO_MATCH,NO_MATCH,high,"None of the candidate terms specifically address the duration from hatching to death or adult eclosion, which is specific to the juvenile life span."
mortality,number of dead individuals per group,individuals,NO_MATCH,NO_MATCH,high,"The VecTraits entry describes mortality as the number of dead individuals, which is not related to the levels of specific proteins in blood or cerebrospinal fluid."
mortality (larval),duration for 100% mortality (unfed larvae),weeks,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms directly relate to the concept of larval mortality duration.
mortality (nymphal),duration for 50% mortality (unfed nymphs),weeks,NO_MATCH,NO_MATCH,high,None of the candidate ontology terms relate to nymphal mortality duration; they all pertain to protein levels in various fluids.
