OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,Interactor1Order,text,version,cluster_id
development time,mean duration of life stage,days,Hemiptera,Trait: development time. Definition: mean duration of life stage. Unit: days. Organism order: Hemiptera.,v4,12
fecundity,mean lifetime offspring,offspring individual-1,Hemiptera,Trait: fecundity. Definition: mean lifetime offspring. Unit: offspring individual-1. Organism order: Hemiptera.,v4,4
longevity,mean duration of life stage,days,Hemiptera,Trait: longevity. Definition: mean duration of life stage. Unit: days. Organism order: Hemiptera.,v4,14
reproductive period,mean duration of life stage,days,Hemiptera,Trait: reproductive period. Definition: mean duration of life stage. Unit: days. Organism order: Hemiptera.,v4,19
survival,proportion surviving life stage,proportion,Hemiptera,Trait: survival. Definition: proportion surviving life stage. Unit: proportion. Organism order: Hemiptera.,v4,15
mortality rate,per capita daily mortality,individual-1 day-1,Diptera,Trait: mortality rate. Definition: per capita daily mortality. Unit: individual-1 day-1. Organism order: Diptera.,v4,15
ovipositional period,mean duration of life stage,days,Hemiptera,Trait: ovipositional period. Definition: mean duration of life stage. Unit: days. Organism order: Hemiptera.,v4,-1
survival,percent surviving life stage,percent,Hemiptera,Trait: survival. Definition: percent surviving life stage. Unit: percent. Organism order: Hemiptera.,v4,15
development time,median duration of life stage,days,Hemiptera,Trait: development time. Definition: median duration of life stage. Unit: days. Organism order: Hemiptera.,v4,12
longevity,median duration of life stage,days,Hemiptera,Trait: longevity. Definition: median duration of life stage. Unit: days. Organism order: Hemiptera.,v4,14
fecundity rate,mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time,nymphs unit time-1,Homoptera,Trait: fecundity rate. Definition: mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time. Unit: nymphs unit time-1. Organism order: Homoptera.,v4,4
mortality,percent not surviving life stage,percent,Homoptera,Trait: mortality. Definition: percent not surviving life stage. Unit: percent. Organism order: Homoptera.,v4,15
pre-oviposition period,mean duration from adult emergence to onset of reproduction,days,Homoptera,Trait: pre-oviposition period. Definition: mean duration from adult emergence to onset of reproduction. Unit: days. Organism order: Homoptera.,v4,19
fecundity,mean lifetime nymphs individual-1,nymphs individual-1,Homoptera,Trait: fecundity. Definition: mean lifetime nymphs individual-1. Unit: nymphs individual-1. Organism order: Homoptera.,v4,4
fecundity rate,mean eggs individual-1 day-1,eggs individual-1 day-1,Diptera,Trait: fecundity rate. Definition: mean eggs individual-1 day-1. Unit: eggs individual-1 day-1. Organism order: Diptera.,v4,4
fecundity rate,mean offspring per day,eggs individual-1 day-1,Acari,Trait: fecundity rate. Definition: mean offspring per day. Unit: eggs individual-1 day-1. Organism order: Acari.,v4,4
blood feeding frequency,mean lifetime blood meals individual-1,blood meals,Diptera,Trait: blood feeding frequency. Definition: mean lifetime blood meals individual-1. Unit: blood meals. Organism order: Diptera.,v4,-1
body size,mean wet mass,mg,Hemiptera,Trait: body size. Definition: mean wet mass. Unit: mg. Organism order: Hemiptera.,v4,5
development time,mean duration period from aphid birth to its first reproduction,days,Hemiptera,Trait: development time. Definition: mean duration period from aphid birth to its first reproduction. Unit: days. Organism order: Hemiptera.,v4,12
fecundity,mean number of progeny in a reproductive period equal to development time,progeny indidividual-1,Hemiptera,Trait: fecundity. Definition: mean number of progeny in a reproductive period equal to development time. Unit: progeny indidividual-1. Organism order: Hemiptera.,v4,4
body size,mean wing length (mm),mm,Diptera,Trait: body size. Definition: mean wing length (mm). Unit: mm. Organism order: Diptera.,v4,5
longevity,median adult lifespan,days,Diptera,Trait: longevity. Definition: median adult lifespan. Unit: days. Organism order: Diptera.,v4,14
ovipositioning,proportion of blood fed mosquitoes laying egg rafts,proportion,Diptera,Trait: ovipositioning. Definition: proportion of blood fed mosquitoes laying egg rafts. Unit: proportion. Organism order: Diptera.,v4,-1
development rate,mean rate of life stage completion,days-1,Lepidoptera,Trait: development rate. Definition: mean rate of life stage completion. Unit: days-1. Organism order: Lepidoptera.,v4,12
fecundity,mean lifetime eggs individual-1,eggs individual-1,Lepidoptera,Trait: fecundity. Definition: mean lifetime eggs individual-1. Unit: eggs individual-1. Organism order: Lepidoptera.,v4,4
egg viability,mean percentage of viable eggs produced per female,eggs individual-1,Coleoptera,Trait: egg viability. Definition: mean percentage of viable eggs produced per female. Unit: eggs individual-1. Organism order: Coleoptera.,v4,-1
fecundity,mean eggs produced per plant,eggs plant-1,Coleoptera,Trait: fecundity. Definition: mean eggs produced per plant. Unit: eggs plant-1. Organism order: Coleoptera.,v4,4
fat content,mean lipid content per individual,ug mg-1 individual-1,Coleoptera,Trait: fat content. Definition: mean lipid content per individual. Unit: ug mg-1 individual-1. Organism order: Coleoptera.,v4,-1
development rate,rate of life stage completion,days-1,Hemiptera,Trait: development rate. Definition: rate of life stage completion. Unit: days-1. Organism order: Hemiptera.,v4,12
pre-blood meal period,average duration from emergence to first blood meal,days,Diptera,Trait: pre-blood meal period. Definition: average duration from emergence to first blood meal. Unit: days. Organism order: Diptera.,v4,-1
fecundity,mean number of eggs per cycle,eggs individual-1 cycle-1,Diptera,Trait: fecundity. Definition: mean number of eggs per cycle. Unit: eggs individual-1 cycle-1. Organism order: Diptera.,v4,4
gonotrophic cycle,mean number of gonotrophic cycles completed in individuals lifetime,days,Diptera,Trait: gonotrophic cycle. Definition: mean number of gonotrophic cycles completed in individuals lifetime. Unit: days. Organism order: Diptera.,v4,1
resource consumption rate,mean daily resource consumption rate,cm2 day-1,Coleoptera,Trait: resource consumption rate. Definition: mean daily resource consumption rate. Unit: cm2 day-1. Organism order: Coleoptera.,v4,-1
blood feeding,percent taking one bloodmeal,percent,Diptera,Trait: blood feeding. Definition: percent taking one bloodmeal. Unit: percent. Organism order: Diptera.,v4,-1
transmission potential,percent of individuals with transmission potential,percent,Diptera,Trait: transmission potential. Definition: percent of individuals with transmission potential. Unit: percent. Organism order: Diptera.,v4,-1
post-oviposition period,mean duration of life stage,days,Homoptera,Trait: post-oviposition period. Definition: mean duration of life stage. Unit: days. Organism order: Homoptera.,v4,-1
fecundity,mean lifetime egg punctures,egg punctures individual-1,Coleoptera,Trait: fecundity. Definition: mean lifetime egg punctures. Unit: egg punctures individual-1. Organism order: Coleoptera.,v4,4
lipid content,mean lipid content per individual,ug,Diptera,Trait: lipid content. Definition: mean lipid content per individual. Unit: ug. Organism order: Diptera.,v4,-1
protein content,mean protein content per individual,ug,Diptera,Trait: protein content. Definition: mean protein content per individual. Unit: ug. Organism order: Diptera.,v4,-1
glycogen content,mean glycogen content per individual,ug,Diptera,Trait: glycogen content. Definition: mean glycogen content per individual. Unit: ug. Organism order: Diptera.,v4,-1
body size,mean wet mass (waxless and gravid),mg,Homoptera,Trait: body size. Definition: mean wet mass (waxless and gravid). Unit: mg. Organism order: Homoptera.,v4,5
fecundity rate,mean eggs per unit time,eggs individual-1 day-1,Coleoptera,Trait: fecundity rate. Definition: mean eggs per unit time. Unit: eggs individual-1 day-1. Organism order: Coleoptera.,v4,4
fecundity rate,mean offspring per unit time,offspring individual-1 day-1,Hemiptera,Trait: fecundity rate. Definition: mean offspring per unit time. Unit: offspring individual-1 day-1. Organism order: Hemiptera.,v4,4
ovariole number,mean number of ovarioles per individual,ovarioles individual-1,Hemiptera,Trait: ovariole number. Definition: mean number of ovarioles per individual. Unit: ovarioles individual-1. Organism order: Hemiptera.,v4,-1
reproductive capacity,mean lifetime nymphs (30 days),nymphs individual-1,Hemiptera,Trait: reproductive capacity. Definition: mean lifetime nymphs (30 days). Unit: nymphs individual-1. Organism order: Hemiptera.,v4,4
mortality rate,mean per capita rate of mortality during life stage,individual-1 day-1,Diptera,Trait: mortality rate. Definition: mean per capita rate of mortality during life stage. Unit: individual-1 day-1. Organism order: Diptera.,v4,15
pre-reproductive period,mean duration of life stage,days,Coleoptera,Trait: pre-reproductive period. Definition: mean duration of life stage. Unit: days. Organism order: Coleoptera.,v4,19
fecundity,mean lifetime eggs per 10 individuals,eggs 10 individuals-1,Diptera,Trait: fecundity. Definition: mean lifetime eggs per 10 individuals. Unit: eggs 10 individuals-1. Organism order: Diptera.,v4,4
hatching rate,percent surviving life stage,percent,Homoptera,Trait: hatching rate. Definition: percent surviving life stage. Unit: percent. Organism order: Homoptera.,v4,6
hatching rate,mean duration of life stage,percent,Homoptera,Trait: hatching rate. Definition: mean duration of life stage. Unit: percent. Organism order: Homoptera.,v4,-1
