cluster_id,n_members,standardised_label,ontology_alignment,best_ontology_reference,justification
0,10,mean metabolic rate,refines,PATO:0000161,"The label 'mean metabolic rate' encompasses all trait descriptions in the cluster, including variations in metabolic states (active, resting, standard) and related processes (anabolic, respiratory), while refining the broad ontology term 'rate' to specifically address metabolic processes."
1,10,egg conversion efficiency,refines,PATO:0001029,"The label 'egg conversion efficiency' captures the essence of all traits in the cluster, focusing on the efficiency of converting engorged female weight into egg mass, and refines the broad concept of 'efficiency' (PATO:0001029) to specifically address reproductive output."
2,5,gonotrophic cycle metrics,refines,OBA:0004567,"The label 'gonotrophic cycle metrics' encompasses both the duration and the number of gonotrophic cycles, capturing the essence of all traits in the cluster, while refining the broader ontology term 'ovulation cycle duration' to specifically address gonotrophic cycles in vector biology."
3,5,nymphal and larval weight loss,refines,PATO:0000583,"The label 'nymphal and larval weight loss' captures the specific context of weight loss during both nymphal and larval stages, refining the broader ontology term 'decreased weight' (PATO:0000583) to better represent the specific developmental stages and conditions described in the cluster."
4,68,individual fecundity rate,refines,PATO:0000273,"The label 'individual fecundity rate' captures the essence of the cluster, which focuses on the rate and total number of offspring produced by an individual, aligning with the concept of fecundity while refining it to emphasize individual-level measurements and temporal aspects."
5,7,nymph and female weight,refines,PATO:0000125,"The label 'nymph and female weight' captures the focus on the weight of both developing nymphs and adult females of Hyalomma impeltatum, aligning with the ontology term for mass while providing specificity regarding the life stages and conditions described."
6,11,mean body size,aligns,OBA:VT0100005,"The label 'mean body size' encompasses all traits related to body dimensions such as length, width, and specific body parts, aligning well with the ontology term 'body size trait'."
7,31,mean body mass,aligns,OBA:VT0001259,"The label 'mean body mass' accurately captures the essence of all traits in the cluster, focusing on the average mass of organisms, which aligns with the high-confidence ontology term OBA:VT0001259 'body mass'."
8,6,egg mass weight,aligns,PATO:0000125,"The label 'egg mass weight' captures the focus on the mass of eggs across different contexts, aligning with the ontology term PATO:0000125 'mass' which is applicable to all descriptions in the cluster."
9,9,larval and nymph survival duration,refines,PATO:0001309,"The label 'larval and nymph survival duration' captures the essence of the cluster by focusing on the survival time of different life stages (larvae and nymphs) under various conditions, refining the broader ontology term PATO:0001309 'duration' to specifically address survival duration in these contexts."
10,6,molting success rate,refines,PATO:0000161,"The label 'molting success rate' accurately captures the essence of the cluster, focusing on the percentage of individuals that successfully molt during specific life stages, and refines the broader ontology term 'rate' (PATO:0000161) by specifying the biological process involved."
11,8,egg incubation duration,refines,PATO:0001309,"The label 'egg incubation duration' captures the essence of all cluster members by focusing on the time aspect of egg incubation, aligning with the ontology term PATO:0001309 'duration' while providing specificity to the biological context of egg incubation."
12,13,egg hatching success rate,refines,GO:0009792,"The label 'egg hatching success rate' captures the essence of all traits in the cluster, focusing on the percentage and rate of eggs that successfully hatch, which aligns with the concept of embryo development ending in hatching as per GO:0009792, while refining it to specifically address the success rate aspect."
13,5,aphid adult lifespan,refines,OBA:VT0005372,"The label 'aphid adult lifespan' captures the focus on the lifespan of adult aphids, aligning with the ontology reference for life span determination while refining it to specify the aphid context."
14,39,reproductive timing duration,refines,PATO:0001309,"The label 'reproductive timing duration' encompasses the various stages and periods related to reproduction, such as pre-oviposition, oviposition, and post-reproductive phases, focusing on the duration aspect which is a common theme across all traits in the cluster. This refines the existing ontology term PATO:0001309 'duration' by specifying its application to reproductive timing."
15,31,development duration,aligns,PATO:0001309,"The cluster predominantly describes the duration of various developmental stages, aligning with the ontology term for 'duration'."
16,29,life stage duration and mortality,extends,OBA:VT0005372,"The label 'life stage duration and mortality' encompasses both the longevity and mortality aspects of the traits in the cluster, addressing the duration of life stages and the rates or percentages of mortality, which are central to the descriptions provided. This label extends the existing ontology term OBA:VT0005372 by incorporating mortality aspects alongside lifespan determination."
17,6,life stage survival rate,refines,PATO:0000161,"The label 'life stage survival rate' captures the essence of all cluster members by focusing on the proportion or percentage of individuals surviving a specific life stage, refining the broader concept of 'rate' in PATO:0000161 to a more specific ecological context."
18,12,tick survival rate,refines,PATO:0000161,"The label 'tick survival rate' specifically captures the focus on survival percentages across various life stages and conditions, refining the broader ontology term 'rate' to better fit the context of tick biology."
19,8,larval and nymphal feeding duration,refines,PATO:0001309,"The label 'larval and nymphal feeding duration' captures the mean duration of feeding and prefeeding periods across larval and nymphal stages, refining the broad concept of 'duration' to specifically address the feeding-related life stages described in the cluster."
20,12,premolt and molt duration,refines,PATO:0001309,"The label 'premolt and molt duration' captures the essence of the cluster, which includes traits related to the duration of both premolt and molt phases across different life stages, refining the broader ontology term PATO:0001309 'duration' to specifically address these biological processes."
