concept_group,ground_truth_decision,OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,raw_record_count,data_quality_flag,decision_reason,V1_name_cluster_id,V1_name_cluster_total_size,V1_name_cluster_composition,V2_definition_cluster_id,V2_definition_cluster_total_size,V2_definition_cluster_composition,V3_unit_cluster_id,V3_unit_cluster_total_size,V3_unit_cluster_composition,V4_order_cluster_id,V4_order_cluster_total_size,V4_order_cluster_composition,V5_family_cluster_id,V5_family_cluster_total_size,V5_family_cluster_composition,V6_stage_cluster_id,V6_stage_cluster_total_size,V6_stage_cluster_composition,V7_class_cluster_id,V7_class_cluster_total_size,V7_class_cluster_composition,V8_phylum_cluster_id,V8_phylum_cluster_total_size,V8_phylum_cluster_composition
body_mass_or_weight,include,body mass,mean weight of female,mg,5,,Direct organism-level body mass or linear morphometric,20,6,body_mass=6; linear=0; egg_excluded=0; other=0; total=6,-1,,noise; body_mass=3; linear=6; egg_excluded=3; all_noise_points=151,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,Body Mass,mean daily weight of larvae during their feeding periods,mg,7,,Direct organism-level body mass or linear morphometric,20,6,body_mass=6; linear=0; egg_excluded=0; other=0; total=6,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,Body Mass,mean daily weight of nymphs during their feeding periods,mg,4,,Direct organism-level body mass or linear morphometric,20,6,body_mass=6; linear=0; egg_excluded=0; other=0; total=6,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,Body Mass,mean daily weight of nymphs during their pharate periods,mg,3,,Direct organism-level body mass or linear morphometric,20,6,body_mass=6; linear=0; egg_excluded=0; other=0; total=6,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,Body Mass,Weight of an individual engorged female,mg,25,,Direct organism-level body mass or linear morphometric,20,6,body_mass=6; linear=0; egg_excluded=0; other=0; total=6,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
body_mass_or_weight,include,body size,dry mass,mg,24,,Explicit body-size label; retain definition/unit anomalies for audit,19,23,body_mass=17; linear=6; egg_excluded=0; other=0; total=23,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,5,21,body_mass=13; linear=8; egg_excluded=0; other=0; total=21,3,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17
body_mass_or_weight,include,body size,individual-level mass,mg,1304,,Explicit body-size label; retain definition/unit anomalies for audit,19,23,body_mass=17; linear=6; egg_excluded=0; other=0; total=23,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,5,21,body_mass=13; linear=8; egg_excluded=0; other=0; total=21,3,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17
body_mass_or_weight,include,body size,individual-level wet mass,mg,33,,Explicit body-size label; retain definition/unit anomalies for audit,19,23,body_mass=17; linear=6; egg_excluded=0; other=0; total=23,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,5,21,body_mass=13; linear=8; egg_excluded=0; other=0; total=21,3,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17
body_mass_or_weight,include,body size,mean body weight,mg,144,,Explicit body-size label; retain definition/unit anomalies for audit,19,23,body_mass=17; linear=6; egg_excluded=0; other=0; total=23,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,5,21,body_mass=13; linear=8; egg_excluded=0; other=0; total=21,3,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,18,body_mass=13; linear=5; egg_excluded=0; other=0; total=18,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17,6,17,body_mass=13; linear=4; egg_excluded=0; other=0; total=17
body_mass_or_weight,include,body size,mean body weight of engorged adult females,mg,4,,Explicit body-size label; retain definition/unit anomalies for audit,19,23,body_mass=17; linear=6; egg_excluded=0; other=0; total=23,4,46,body_mass=32; linear=9; egg_excluded=5; other=0; total=46,7,31,body_mass=31; linear=0; egg_excluded=0; other=0; total=31,7,28,body_mass=21; linear=0; egg_excluded=7; other=0; total=28,6,33,body_mass=21; linear=4; egg_excluded=7; other=1; total=33,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32,7,30,body_mass=21; linear=2; egg_excluded=7; other=0; total=30,7,32,body_mass=21; linear=4; egg_excluded=7; other=0; total=32
