query_trait,ontology,term_id,term_label,term_definition
development time,PATO,PATO:0000165,time,A quality in which events occur in sequence.
development time,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
development time,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
development time,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
development time,PATO,PATO:0040049,male with DSD,A biological sex quality inhering in an individual or a population who are otherwise male of a non-hermaphroditic species who has ambiguous or atypical congenital development of the reproductive system.
survival,PATO,PATO:0000718,lethal (sensu genetics),A viability quality inhering in a population by virtue of the bearer's long term survival inability.
survival,PATO,PATO:0000719,viable,A viability quality inhering in a bearer or a population by virtue of the bearer's ability to survive or the long term survival ability of a given population.
survival,PATO,GO:0043066,negative regulation of apoptotic process,"This term should only be used when it is not possible to determine which phase or subtype of the apoptotic process is negatively regulated by a gene product. Whenever detailed information is available, the more granular children terms should be used."
survival,PATO,GO:0043524,negative regulation of neuron apoptotic process,"Any process that stops, prevents, or reduces the frequency, rate or extent of cell death by apoptotic process in neurons."
survival,PATO,CHEBI:38323,cholinergic drug,"Any drug used for its actions on cholinergic systems. Included here are agonists and antagonists, drugs that affect the life cycle of acetylcholine, and drugs that affect the survival of cholinergic neurons."
body size,PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.
body size,PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.
body size,PATO,PATO:0000586,increased size,A size quality which is relatively high.
body size,PATO,PATO:0000587,decreased size,A size quality which is relatively low.
body size,PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.
juvenile life span,PATO,PATO:0000050,life span,A time quality inhering in a bearer by virtue of the bearer's expected maximum age.
juvenile life span,PATO,PATO:0001603,increased life span,A life span which is relatively high.
juvenile life span,PATO,PATO:0001604,decreased life span,A life span which is relatively low.
juvenile life span,PATO,PATO:0045026,normal life span,A life span which is relatively normal or average.
juvenile life span,PATO,PATO:0001190,juvenile,A maturity quality inhering in a bearer by virtue the bearer's being not fully grown or developed.
fecundity,PATO,PATO:0000273,fecundity,A reproductive quality inhering in an organism or population by virtue of the bearer's potential reproductive capacity ad measured by the number of gametes.
fecundity,PATO,PATO:0001695,increased fecundity,A fecundity which is relatively high.
fecundity,PATO,PATO:0001696,decreased fecundity,A fecundity which is relatively low.
fecundity,PATO,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
fecundity,PATO,PCO:0000003,quality of a population,A quality that inheres in a population of organisms.
cold hardiness,PATO,PATO:0001306,decreased temperature,A temperature which is relatively low.
survival rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
survival rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
survival rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.
survival rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
survival rate,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
development rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
development rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
development rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.
development rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
development rate,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
fecundity rate,PATO,PATO:0000273,fecundity,A reproductive quality inhering in an organism or population by virtue of the bearer's potential reproductive capacity ad measured by the number of gametes.
fecundity rate,PATO,PATO:0001695,increased fecundity,A fecundity which is relatively high.
fecundity rate,PATO,PATO:0001696,decreased fecundity,A fecundity which is relatively low.
fecundity rate,PATO,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
fecundity rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
pre-reproductive period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
pre-reproductive period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
pre-reproductive period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
pre-reproductive period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
pre-reproductive period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
mortality rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
mortality rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
mortality rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.
mortality rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
mortality rate,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
reproductive period,PATO,PATO:0001434,reproductive quality,An organismal quality inhering in a bearer by virtue of the bearer's ability to produce new life or offspring.
reproductive period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
reproductive period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
reproductive period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
reproductive period,PATO,GO:0019098,reproductive behavior,The specific behavior of an organism that is associated with reproduction.
recovery time,PATO,PATO:0000165,time,A quality in which events occur in sequence.
recovery time,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
recovery time,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
recovery time,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
recovery time,PATO,PATO:0001005,latency,"This class is a candidate for obsoletion. The definition is not clear, and the placement under ""delayed"" is not consistent with the definition."
weight loss,PATO,PATO:0000128,weight,"For any biological use of PATO, the concept that should be used is 'mass' and not 'weight'. For example, increased weight of an organism."
weight loss,PATO,PATO:0000582,increased weight,A weight which is relatively high.
weight loss,PATO,PATO:0000583,decreased weight,A weight which is relatively low.
weight loss,PATO,PATO:0001999,lacks parts or has fewer parts of type,"The bearer of this quality has_part < n of the indicated entity type, where n is the normal amount for a comparable organism. Note that the bearer of the quality is the whole, not the part. Formally: If a bearer entity e has fewer parts of type X at time t, then the number of instances x of X at t such that x part_of e is < n, where n is either the normal number for comparable entities, or n is stated explicitly. This case includes the limit case, where the bearer lacks all parts of the specified type."
weight loss,PATO,PATO:0002461,wilty,To bend or hang downwards due to loss of water
ovipositional period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
ovipositional period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
ovipositional period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
