cluster_id,n_members,standardised_name,justification
0,9,metabolic rate,"All trait names and definitions in the cluster refer to different aspects or measurements of metabolic rate, including CO2 production and oxygen uptake, under various conditions."
1,5,gonotrophic cycle metrics,"This name encompasses both the duration and count aspects of gonotrophic cycles, capturing the essence of the cluster's focus on lifecycle metrics."
2,10,egg conversion efficiency,"This name encapsulates the core concept of the cluster, which is the efficiency with which engorged female weight is converted into egg mass."
3,18,body size metrics,"This cluster represents various measurements of body size, including mass, length, and wing dimensions, across different life stages and conditions."
4,8,body weight loss,"This name encompasses all stages and types of weight loss described, focusing on the common factor of body weight reduction across different periods."
5,67,lifetime fecundity,"The cluster predominantly describes the total reproductive output of an individual over its lifetime, encompassing various measures of offspring production."
6,33,body and egg mass,"The cluster encompasses measurements of weight and mass for various life stages and reproductive outputs, including body mass of different developmental stages and egg mass, necessitating a comprehensive term that covers both body and reproductive traits."
7,7,hyalomma impeltatum female weight,"The cluster focuses on the weight of female Hyalomma impeltatum at different life stages and conditions, making 'hyalomma impeltatum female weight' a comprehensive descriptor."
8,11,egg hatch rate,"The term 'egg hatch rate' encompasses the various measures of the proportion of eggs that successfully hatch, as reflected by the semantic similarity in the definitions provided."
9,6,molting success rate,"The term 'molting success rate' succinctly captures the essence of the cluster by focusing on the percentage of individuals that successfully molt during a specific life stage, applicable to both larval and nymphal stages."
10,10,mean survival time,"The cluster represents various measures of survival duration across different life stages and conditions, best encapsulated by 'mean survival time'."
11,6,development rate,"The cluster represents various measures of the rate at which different life stages of an organism develop, making 'development rate' a concise and inclusive standardised name."
12,12,life stage survival rate,"This name encompasses both survival and mortality metrics, focusing on the proportion of individuals surviving a specific life stage, which is the common theme across the clustered traits."
13,15,tick survival rate,"The cluster represents various survival metrics for ticks across different life stages and environmental conditions, all of which can be encapsulated under the general term 'tick survival rate'."
14,20,adult lifespan,"The cluster predominantly focuses on the duration of life stages, particularly the adult stage, across various contexts and conditions."
15,28,development duration,"The cluster primarily focuses on the duration of various developmental stages across different contexts, making 'development duration' a comprehensive and representative term."
16,10,egg incubation period,"The cluster represents the duration from egg laying to hatching, which is commonly referred to as the egg incubation period in entomological and ecological studies."
17,16,molting duration,"The term 'molting duration' succinctly captures the essence of the cluster, encompassing the time required for both larval and nymphal stages to complete their molting processes, as indicated by the various definitions provided."
18,13,feeding duration,"The cluster revolves around the mean duration of feeding across different life stages and conditions, making 'feeding duration' a concise and inclusive term."
19,15,reproductive timing traits,"The cluster encompasses various aspects of the timing and duration of reproductive stages in an organism's life cycle, including pre-reproductive, reproductive, and post-reproductive periods."
20,17,oviposition duration,"The cluster predominantly describes the duration of the oviposition and preoviposition periods, focusing on the time span from adult emergence to egg-laying in females."
